pid,tier,c,h,t0,alpha_tier,w_risk
p1r0,H,c4,h4,30,1500000.0,0.15
p2r0,H,c3,h3,3,1500000.0,0.15
p3r0,L,c2,h2,37,500000.0,0.02
p4r0,M,c4,h4,9,1000000.0,0.05
p5r0,M,c2,h2,23,1000000.0,0.05
p6r0,H,c1,h1,52,1500000.0,0.15
p7r0,M,c1,h1,1,1000000.0,0.05
p8r0,H,c2,h2,5,1500000.0,0.15
p9r0,L,c2,h2,67,500000.0,0.02
p10r0,M,c2,h2,49,1000000.0,0.05
p11r0,M,c1,h1,66,1000000.0,0.05
p12r0,M,c3,h3,13,1000000.0,0.05
p13r0,H,c4,h4,71,1500000.0,0.15
p14r0,L,c4,h4,19,500000.0,0.02
p15r0,H,c4,h4,64,1500000.0,0.15
p16r0,M,c3,h3,42,1000000.0,0.05
p17r0,L,c1,h1,65,500000.0,0.02
p18r0,M,c1,h1,76,1000000.0,0.05
p19r0,M,c1,h1,14,1000000.0,0.05
p20r0,L,c1,h1,58,500000.0,0.02
p21r0,H,c2,h2,61,1500000.0,0.15
p22r0,M,c1,h1,24,1000000.0,0.05
p23r0,L,c4,h4,64,500000.0,0.02
p24r0,M,c4,h4,75,1000000.0,0.05
p25r0,L,c4,h4,13,500000.0,0.02
p26r0,L,c4,h4,63,500000.0,0.02
p27r0,L,c1,h1,85,500000.0,0.02
p28r0,H,c3,h3,24,1500000.0,0.15
p29r0,H,c2,h2,35,1500000.0,0.15
p30r0,M,c3,h3,55,1000000.0,0.05
p31r0,L,c2,h2,41,500000.0,0.02
p32r0,L,c4,h4,33,500000.0,0.02
p33r0,L,c4,h4,34,500000.0,0.02
p34r0,H,c3,h3,37,1500000.0,0.15
p35r0,H,c3,h3,53,1500000.0,0.15
p36r0,M,c4,h4,58,1000000.0,0.05
p37r0,H,c4,h4,76,1500000.0,0.15
p38r0,L,c3,h3,6,500000.0,0.02
p39r0,M,c2,h2,75,1000000.0,0.05
p40r0,M,c4,h4,56,1000000.0,0.05
p41r0,M,c3,h3,26,1000000.0,0.05
p42r0,M,c3,h3,67,1000000.0,0.05
p43r0,M,c2,h2,17,1000000.0,0.05
p44r0,H,c4,h4,72,1500000.0,0.15
p45r0,L,c4,h4,71,500000.0,0.02
p46r0,M,c3,h3,14,1000000.0,0.05
p47r0,M,c3,h3,85,1000000.0,0.05
p48r0,H,c3,h3,70,1500000.0,0.15
p49r0,L,c1,h1,28,500000.0,0.02
p50r0,H,c3,h3,47,1500000.0,0.15
p1r1,H,c4,h4,32,1500000.0,0.15
p2r1,H,c3,h3,2,1500000.0,0.15
p3r1,L,c2,h2,35,500000.0,0.02
p4r1,M,c4,h4,4,1000000.0,0.05
p5r1,M,c2,h2,19,1000000.0,0.05
p6r1,H,c1,h1,53,1500000.0,0.15
p7r1,M,c1,h1,3,1000000.0,0.05
p8r1,H,c2,h2,6,1500000.0,0.15
p9r1,L,c2,h2,70,500000.0,0.02
p10r1,M,c2,h2,46,1000000.0,0.05
p11r1,M,c1,h1,65,1000000.0,0.05
p12r1,M,c3,h3,10,1000000.0,0.05
p13r1,H,c4,h4,69,1500000.0,0.15
p14r1,L,c4,h4,22,500000.0,0.02
